Clase,FID,n_samples
Segmented Neutrophil,49.69831466674805,3000
Monocyte,63.162559509277344,1789
Myeloblast,65.81268310546875,3000
Eosinophil,71.68630981445312,424
Typical Lymphocyte,91.15428924560547,3000
Basophil,103.23323059082031,79
Band Neutrophil,110.49254608154297,109
Erythroblast,113.17086029052734,78
Promyelocyte,127.02674865722656,70
Monoblast,132.3256072998047,26
Promyelocyte Bilobed,135.96632385253906,18
Myelocyte,147.41502380371094,42
Atypical Lymphocyte,163.3755340576172,16
Smudge cell,179.30242919921875,16
Metamyelocyte,183.8784637451172,16
